_id,Career,Hard skill,Soft skill,Personality
15,นักแปล ,"ทักษะทางด้านภาษาไทยและภาษาอังกฤษ, ทักษะการเล่าเรื่อง, ทักษะการใช้คำ, ทักษะทางการแปล",การเรียนรู้ตลอดชีวิต ความคิดสร้างสรรค์ การบริหารเวลา การรับมือกับความเครียด ทักษะการคิดวิเคราะห์และการตัดสินใจ,ขยัน ละเอียดรอบคอบ มีความรับผิดชอบสูง มีความคิดสร้างสรรค์ กล้าคิด กล้าทำ กล้าลอง กล้าถามในสิ่งที่ตัวเองไม่รู้  มีระเบียบแบบแผน เรียนรู้เคล็ดลับของผู้อื่นแล้วปรับใช้กับตัวเอง จินตนาการกว้างไกล
16,นักแปล ,"ทักษะทางด้านภาษาไทยและภาษาอังกฤษ, ทักษะการเล่าเรื่อง, ทักษะการใช้คำ, ทักษะทางการแปล",การเรียนรู้ตลอดชีวิต ความคิดสร้างสรรค์ การบริหารเวลา การรับมือกับความเครียด ทักษะการคิดวิเคราะห์และการตัดสินใจ,ขยัน คิดหน้าคิดหลัง  ไม่ย่อท้อ ตลก คิดในแง่ดี ขวนขวายในสิ่งที่ตัวเองอยากจะได้ หมั่นศึกษาหาความรู้ ชอบจดบันทึก ไม่ยึดติดแนวทางเดิม มีระเบียบแบบแผน 
17,youtuber,"การคิดคอนเทนต์, ภาษาอังกฤษธุรกิจ","การคิดบวก, ความคิดสร้างสรรค์, การทำงานร่วมกับผู้อื่น, การบริหารเวลา",อ่อนไหวง่าย ไม่กล้าพูด ชอบการพัฒนาตัวเอง ถ้าอยากทำอะไรแล้วต้องทำจริง ทำให้ดีที่สุด
18,youtuber,ความสามารถในการขาย ทักษะการเล่าเรื่อง ภาษาอังกฤษธุรกิจ การคิดคอนเทนต์,การทำงานร่วมกับผู้อื่น การบริหารเวลา การเรียนรู้ตลอดชีวิต ความคิดสร้างสรรค์ ความฉลาดทางอารมณ์ ทักษะการสื่อสาร,เรียบง่าย สุภาพ ขี้อายนิดๆ ขี้สงสัย
19,youtuber,เทคนิคการแต่งหน้า เทคนิคการพูด,การทำงานร่วมกับผู้อื่น การบริหารเวลา การเรียนรู้ตลอดชีวิต ความคิดสร้างสรรค์ ความฉลาดทางอารมณ์ ความสามารถในการปรับตัว,ชอบวางแผน รักความสวยความงาม ชอบพัฒนาตัวเองอยู่เสมอ
20,ผู้ประกาศข่าว ,เขียนข่าว วิเคราะห์ข่าว สามารถนำเสนอข่าวได้เข้าใจง่าย สรุปประเด็นได้ชัดเจน,การคิดเชิงวิเคราะห์และเลือกตัดสินใจ การทำงานร่วมกับผู้อื่น การบริหารเวลา การเรียนรู้ตลอดชีวิต ความฉลาดทางอารมณ์ ความสามารถในการปรับตัว,ขี้สงสัย ดูแลตัวเองในเรื่องการกินมาก จริงจังกับการทำงาน
21,ผู้ประกาศข่าว ,เขียนข่าว วิเคราะห์ข่าว การนำเสนอข่าวได้อย่างเป็นเอกลักษณ์ มีลีลาการเล่าข่าวได้อย่างน่าติดตาม,การคิดเชิงวิเคราะห์และเลือกตัดสินใจ การทำงานร่วมกับผู้อื่น การบริหารเวลา การเรียนรู้ตลอดชีวิต ความฉลาดทางอารมณ์ ความสามารถในการปรับตัว,ทำงานหนัก คิดอย่างละเอียด มองการณ์ไกล วิเคราะห์อย่างลึกซึ้ง 
22,บรรณาธิการ,ทักษะการเล่าเรื่อง การจับประเด็น การตั้งคำถาม,การคิดเชิงวิเคราะห์และเลือกตัดสินใจ การทำงานร่วมกับผู้อื่น การบริหารเวลา การเรียนรู้ตลอดชีวิต ความฉลาดทางอารมณ์ ความสามารถในการปรับตัว การแก้ปัญหาเฉพาะหน้า มีความเป็นผู้นำ,คิดบวก ชอบตั้งคำถามเชิงบวกกับเรื่องต่างๆ ที่เกิดขึ้น การสนใจปรากฏการณ์รอบตัวในเชิงลึก มีกำลังใจในตัวเองสูง รักในการทำงาน
23,designer,การออกแบบเสื้อผ้า การทำแพทเทิร์น,การทำงานร่วมกับผู้อื่น การบริหารเวลา การเรียนรู้ตลอดชีวิต ความคิดสร้างสรรค์ ความฉลาดทางอารมณ์ ความสามารถในการปรับตัว ทักษะการพูด,มุ่งมั่น ตั้งใจ ทำอะไรจริงจัง ไม่ยอมแพ้อะไรง่ายๆ   ใส่ใจคนรอบข้างอยู่ตลอดเวลา
24,ผู้เชี่ยวชาญด้านการจัดระเบียบภายในบ้าน ,"เทคนิควิธีการจัดบ้าน, การพับผ้า, การจัดเก็บสิ่งของ","การพูด, การสังเกต, การเรียนรู้ตลอดชีวิต, การทำงานร่วมกับผู้อื่น",นอบน้อม ถ่อมตน เอาใจใส่คนรอบข้าง มุ่งมั่นตั้งใจทำสิ่งต่างๆให้ไปถึงเป้าหมาย 
25,นักเขียน,การสร้างตัวละครให้สมจริง การวางโครงเรื่องนิยาย    วิธีการเขียน สำนวนภาษาที่เข้าใจง่าย น่าติดตาม,ความคิดสร้างสรรค์ มีความรับผิดชอบ การบริหารเวลา  การเรียนรู้ตลอดชีวิต ความสามารถในการปรับตัว,รักการอ่าน การเขียน และการเล่าเรื่องให้คนอื่นฟัง    อารมณ์เสียง่าย ไม่มั่นคง ไม่ละความพยายาม
26,นักเขียน,การวางโครงเรื่องนิยาย การสอดแทรกข้อคิดและมุมมองต่าง ๆ ผ่านตัวอักษร วิธีการเขียน สำนวนภาษาที่ใช้ดึงดูดคนอ่าน,ความคิดสร้างสรรค์ มีความรับผิดชอบ การทำงานร่วมกับผู้อื่น การบริหารเวลา การเรียนรู้ตลอดชีวิต,ชอบซึมซับบรรยากาศรอบตัว ชอบเดินในเมืองที่ไม่รู้จัก หรืออยู่ท่ามกลางคนที่ไม่รู้จัก ช่างสังเกต ไม่ละความพยายาม มองหาการพัฒนาที่ไม่หยุดนิ่ง ชอบตั้งคำถาม ชอบท้าทายตัวเอง
27,ผู้กำกับภาพยนตร์,เทคนิคการถ่ายทำ เทคนิคการตัดต่อ เทคนิคการสร้างกราฟฟิค,ทักษะการสื่อสาร การแก้ไขปัญหาที่ซับซ้อนและเฉพาะหน้า ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา การรับมือกับผู้คนและการทำงาน ความสามารถในการปรับตัว,มีความขี้สงสัยที่เป็นแรงผลักดันให้เขามีจินตนาการ ไม่สร้างข้อจำกัดให้ตัวเอง และกล้าที่จะทำ เชื่อมั่นในความคิดตัวเอง
28,ผู้กำกับภาพยนตร์,เทคนิคการตัดต่อภาพยนตร์ เทคนิคการเล่าเรื่อง ตีความให้คนเข้าใจภาพเดียวกัน เทคนิคการถ่ายทำ,ทักษะการสื่อสาร การแก้ไขปัญหาที่ซับซ้อนและเฉพาะหน้า ความคิดสร้างสรรค์ ทักษะการคิดวิเคราะห์และการตัดสินใจ การทำงานร่วมกับผู้อื่น ความฉลาดทางอารมณ์ การบริหารเวลา การรับมือกับผู้คนและการทำงาน ความสามารถในการปรับตัว,เป็นคนที่ทำงานโดยมองถึงสภาวะความเป็นจริงและศักยภาพของตัวเอง เข้มงวดกับการทำงาน ใส่ใจทุกรายละเอียดของผลงาน ไม่หยุดที่จะพัฒนาตนเอง
